Dif. SG_N,Dif. SG_P,Early round SD_N,Early round SD_P,Elong. SD_N,Elong. SD_P,Late round SD_N,Late round SD_P,Macrophage_N,Macrophage_P,SC.I_N,SC.I_P,SC.II_N,SC.II_P,Sertoli_N,Sertoli_P,Undif. SG_N,Undif. SG_P
EVL,1.7957529488423594e-93,ZBBX,5.831747194029124e-208,SPTY2D1OS,6.523027504327461e-195,IQCA1L,2.607799744185169e-223,PARD3B,7.514729170855806e-36,NFAT5,5.78143215987907e-285,IFT74,3.96514779564485e-227,SEPTIN6,2.670830856927964e-203,FAM189A1,5.33457997341187e-175
POU2F1,1.345099092407791e-91,NEK11,7.971852671881553e-207,PRM2,2.1361030114280956e-191,LINC01492,2.595502583428538e-222,ARHGAP10,1.3218375599518578e-35,SPATA22,2.0110939645023385e-284,SLCO3A1,4.1745106568746303e-225,PLCB4,1.1071572273771044e-198,ADGRV1,4.710009979835095e-169
TTC3,9.965782801481262e-92,DNAH14,5.602878440874354e-207,RUNX2,1.5158713672130888e-187,CCNY,2.2352950594697947e-223,SPTBN1,1.5105326443806016e-35,ANKRD7,2.605753930442108e-276,AP4B1-AS1,2.2481165212798643e-226,KMT2C,1.2314023318366283e-199,B3GALT1,9.368746680089207e-169
LINC00333,1.7528148692176855e-91,WWOX,9.461889257850848e-205,EHBP1,1.0423887061862385e-186,GABRG3-AS1,1.5925001384395455e-220,LOC107984001,2.70671874520072e-35,IFT122,1.26700921346096e-275,ADD3-AS1,1.7115462258067305e-221,LMBR1,5.108713079521207e-198,BACH2,2.7127748289809334e-167
REV3L,1.2594692507520642e-88,CFAP299,2.2451339499376328e-209,TNP1,1.8733422458513744e-184,NAALADL2,4.121125456411592e-223,SMOC2,8.912587943820854e-35,LINC02478,1.9947502313474102e-268,LOC100506207,1.892826283388844e-225,QKI,8.91799167751486e-198,NEGR1,8.716742066689349e-165
RNF130,2.7613077590918617e-87,AGBL3,3.275426105737143e-205,HMGB4,3.738762053172391e-185,LOC440896,7.054631803962262e-220,COL4A4,1.000653283826812e-34,RNF17,1.3278996526444165e-272,SLC9C1,3.906790069527618e-218,RALYL,9.801891069166049e-195,LINC00624,2.328286196806948e-161
SIPA1L1,4.243720186786271e-86,C12orf42,1.0099636530615801e-203,RAI14,3.108652639217589e-183,CSNKA2IP,2.2641833402180971e-215,COL15A1,1.1370290798681748e-34,MGC4859,4.774827010232037e-270,LOC440910,6.806004033771167e-216,WIPF3,2.822656219613936e-194,GALNT17,1.4492397194491859e-161
SOX4,3.1768561385702025e-84,LINC01609,4.270482515509313e-204,LRMDA,3.527013760867487e-185,LOC101929058,2.590755028806691e-213,ACTA2,1.3041839550065717e-34,LINC00466,4.9991552187812955e-266,LOC105379207,4.049263943854365e-217,MSI2,6.039686467866966e-195,KHDRBS2,7.053750401254888e-160
HS2ST1,1.1307178951786756e-83,ARHGEF3,2.8195589916250784e-205,LINC01088,1.9315013649085624e-179,LRRC7-AS1,1.827368265834979e-214,RBPMS,1.9605159503350796e-34,CLCA4-AS1,8.713697074888327e-264,CATSPER2,1.4432338798188818e-218,MIR924HG,5.586107527466199e-192,LARGE1,1.0789047974775399e-160
CDH18,2.2026143150143014e-83,LOC105374007,3.569618272074611e-201,LINC02465,2.1842858947691432e-176,CDYL,6.3410086663995295e-217,TNS1,1.415277437120209e-33,SLC4A8,3.3185059258005234e-265,FAM126A,2.1036774989049564e-215,COL1A2,1.8175251355113708e-192,NFIA,1.4671063971006025e-159
