Dif. SG_N,Dif. SG_P,Early round SD_N,Early round SD_P,Elong. SD_N,Elong. SD_P,Late round SD_N,Late round SD_P,Macrophage_N,Macrophage_P,SC.I_N,SC.I_P,SC.II_N,SC.II_P,Sertoli_N,Sertoli_P,Undif. SG_N,Undif. SG_P
MAP2K4,2.443601294899564e-55,GLIS3,1.9919249476995657e-116,LOC105375660,2.1528062983224363e-104,LOC105377872,2.3627458587249933e-134,NHS,6.5197469123864665e-18,MORC2-AS1,3.9685193118274367e-160,ADAMTS3,2.144527277181657e-136,RAB31,1.0028392313851073e-130,LOC730100,4.524863958862833e-97
GREB1L,2.6363555146851706e-55,SLC30A8,5.112115683323476e-116,TEKT5,2.8541106734353337e-105,SMIM23,6.154868206766003e-135,CCN2,7.289573608521193e-18,NR2F1-AS1,7.294132206725596e-159,TBC1D12,1.1221930830247068e-137,HSD17B4,5.200273350963212e-130,DGKB,1.857271974168064e-95
MOV10L1,5.426468102533364e-55,LOC105373449,6.33267543348721e-116,TIPARP-AS1,1.1487357698992625e-104,ATP1A4,2.298726164040151e-134,TAGLN,7.631322245140866e-18,LINC02235,3.1402872296178554e-159,MIB1,7.170214305495172e-138,AUTS2,9.96938734731365e-134,LOC401478,2.550315740560684e-95
ARHGEF26,9.267780522310937e-55,GALNTL5,6.788501772344248e-117,AGAP4,1.6005428426835476e-104,CLDND2,2.5801147352576783e-134,ZNF638,1.0493168318260926e-17,USP32,1.548554353539895e-159,LOC107983960,7.657409305761031e-136,GAS6,1.6343376632674336e-129,ADAM22,9.476961581150587e-95
CBFA2T2,1.0631036320907894e-54,LRRC7,9.67143078994223e-116,TEX38,6.5198499602916914e-105,ICA1,8.863657646807216e-135,SPARC,1.2545076797807447e-17,STK33,8.572052589651795e-160,FSIP2,3.290653764221669e-137,TSPAN5,3.166111809281474e-130,CPVL,2.63525905122776e-94
SECISBP2,1.4540096587884255e-54,LOC105373720,1.437962968166449e-115,LINC02848,4.955395505540923e-104,SPACA3,1.1942045608907607e-133,SRSF11,1.3538487218696088e-17,CEP70,2.5345674764702854e-157,LOC105370790,4.232213566489824e-135,ZDHHC14,2.1010582283791396e-129,LDLRAD3,4.460245070311904e-94
SIMC1,1.4004588009188766e-54,ERICH6,4.659441416361002e-115,LINC01001,1.5100460103421691e-103,NRXN3,2.7996473513831356e-134,TNRC6A,1.5498331836600344e-17,LOC105376108,1.3507554193836814e-156,WFDC3,6.733950449572543e-137,SPOCK1,4.783305236023377e-129,SHISA6,7.190693109533728e-94
UVRAG,1.8966784419908933e-54,LOC107986997,2.890237871714262e-114,LOC101927882,1.1217194734210013e-103,GNAO1-DT,3.158404053817933e-133,LAMC1,1.6149211083628167e-17,PIWIL2,9.760611052615282e-156,DYDC2,2.6680304301073835e-135,TRAK1,4.520170300610799e-129,RFC3,1.3816666542691915e-93
USP26,3.825404347837936e-54,CFAP157,1.3933962847181093e-113,SRGAP3,1.6223899762497296e-103,KCNMA1,1.1383120637910503e-133,ARGLU1,1.6866617899970237e-17,ZCWPW2,2.0599451554746906e-156,TMEM38B,1.1162259269246856e-135,TBL1X,1.9694971169980536e-128,CRIM1,2.001785708773284e-93
RPS6KA5,4.747278631763815e-54,VWA3B,1.3469785951557968e-114,TMEM72-AS1,3.2191895537421403e-103,NEBL,1.3936080279562855e-134,BICC1,3.105650312790405e-17,CDC27,8.60115831226962e-155,SPPL3,8.90474845353848e-136,LRP8,1.2763478937639552e-127,ITSN1,1.1626744277822779e-93
COP1,5.92095428530262e-54,CPNE8,1.5412869610937467e-114,EDNRB-AS1,5.613014962740377e-103,DKKL1,6.918258761451703e-134,PMP22,4.5500776763211577e-17,MEIOB,2.5630962615434075e-152,LOC105376107,9.139935754619465e-138,NAALAD2,1.8509436237514415e-127,ATP2B1,1.2484672939067317e-93
DLG1,5.998140911519233e-54,EXTL2,4.393917387851949e-113,LINC01061,1.788840178396383e-102,TRDN,2.6899643490835727e-132,SOBP,5.862687451312927e-17,CCDC152,3.7054267163073902e-152,DNHD1,9.382756374590766e-135,ARID5B,2.2056022419744105e-127,NEO1,2.427854115593168e-93
JADE3,1.0430799762368356e-53,NBPF4,2.465114013296957e-112,ARHGAP15-AS1,2.301684978325103e-102,FSTL5,4.418897525745881e-132,HIF3A,6.714839623770549e-17,GGA1,1.8078232187616914e-152,NOVA1-DT,8.623309844289432e-135,GSE1,2.005195063974702e-127,EYA2,1.5331521592187783e-92
CLSPN,3.1268911358177096e-53,CTAGE1,1.619677619629454e-110,SLPI,2.1806983293415647e-102,DCC,1.9472206501308987e-132,HNMT,7.550863866986642e-17,LOC105371082,1.0516728811331526e-148,EXD1,4.57966142985201e-133,NAV1,5.620020556574957e-127,LOC105373592,2.3747126962615015e-93
SPATS2L,1.1549282373684722e-52,TEX51,5.481832087539912e-110,CEP152,5.999403150407401e-103,LPAR6,2.8236113085853775e-132,MGP,9.330986406041067e-17,RCN2,3.1146437678574238e-148,STAG3L5P-PVRIG2P-PILRB,4.935021770590311e-134,FKBP5,6.327917274471283e-128,SCFD2,9.795661303793694e-92
RBPJ,1.0605436558227975e-52,KCNMA1-AS1,1.680838922364758e-109,PRKG1,2.3337693626674776e-102,MMS22L,1.279036232378206e-132,GSN,9.383548923034252e-17,GOLPH3L,4.488889179355026e-147,LINC02475,1.0354289938749891e-131,DOCK5,9.451651920206594e-127,GABRG3,2.182771626442893e-92
DDX46,1.5593143724415065e-52,SKAP2,2.607981396110196e-109,USP15,1.1293804369609184e-102,TEKT5,4.418897525745881e-132,MSI2,9.287153517630711e-17,TRIM31-AS1,4.636521212182146e-146,TSACC,2.5781077356697916e-132,TCF25,1.629813442483647e-126,ASIC2,7.213845257958936e-91
YEATS2,1.7359102220875897e-52,MIA2,7.547669362545253e-109,TP53TG5,2.6932554609701016e-101,ACRV1,4.08030918068303e-131,ECM2,1.1465033061671118e-16,ERBIN,3.113502293393956e-147,DGCR5,1.262807074241782e-131,SGCE,3.1672520648402e-125,PTPRG,6.965433243547106e-91
CECR2,1.5738795234246072e-52,SPATA6L,2.3514944502598656e-108,LOC401357,1.0925994609215191e-100,LMNB2,5.354400138667381e-131,HHIP,1.2281644596313122e-16,DTL,3.886531315196677e-145,SPAG1,9.599427251982892e-133,MAML3,4.569197392386239e-126,TLN2,1.179775908622945e-90
FNBP1,2.478227039027936e-52,DKKL1,7.52413776661988e-109,ETNK1-DT,3.416774838588865e-101,LOC105374989,4.2308612224027484e-131,RUFY3,1.1639481537202804e-16,XKR9,9.395486070320702e-146,SHROOM3,1.624057664308642e-131,BOD1L1,2.689924648290339e-125,KCNH8,5.2775638859909e-90
LINC01162,3.300749793977938e-52,CFAP69,4.0549667573529125e-108,MIR193BHG,1.2283063739375114e-100,LOC102723831,8.968458383127198e-131,MEIS1,1.6885977118960357e-16,LINC00964,9.276497005167144e-144,CEP70,1.1723180590457787e-132,EXOC6,5.224981573931182e-126,KIF13A,2.5260795378223957e-90
HDAC9,1.7860463816350212e-52,LINC01495,2.3057203119271005e-107,IQCF3,2.364898447400148e-100,LINC01911,8.716788604082427e-131,PDGFRB,2.096778812316665e-16,EEA1,5.563605296231577e-145,TRIM69,3.1876583597999944e-131,FHOD3,2.3648895579458865e-124,ACTR3C,1.9630170773795398e-89
KNTC1,9.478024104523316e-52,NBPF6,3.8361241195471145e-107,PTPRT,9.963115602861451e-101,LOC101926915,1.6083800657394982e-130,NCKAP5,2.1690785608481647e-16,CATSPERG,1.8414456630943513e-144,CATSPERD,5.3543203205670654e-132,MICAL2,2.801707833064986e-125,RNF130,1.2069497054214116e-89
FUS,1.515593022990455e-51,H2AC18,1.6835110583397286e-107,SPATA31D1,1.2097376689200293e-99,LINC02741,1.1700272972549274e-130,PDLIM3,2.268336648264432e-16,FBF1,5.423861092009852e-144,RALGPS2,6.7519771045591835e-133,DANT2,1.6516330150929515e-123,LOC105369896,5.25446425225353e-89
BAHCC1,2.880208747888792e-51,EFCAB6,1.2838049569539026e-107,LOC105375147,1.5190281470861564e-100,LYZL6,3.8153410392221995e-130,COL6A3,2.5101850542058973e-16,ZNF608,2.498009758314984e-142,TMPRSS12,5.00667549324291e-131,TMTC2,6.3460774647228494e-124,TCF12,7.343896425332541e-90
GMDS,8.892838738420941e-52,VWA3A,1.09211602573911e-106,LOC105372672,1.6092352924605205e-99,TIAM2,1.3223463039538977e-129,MBD5,2.3640942295145833e-16,ZC3H6,2.8141519490739172e-143,BABAM2,1.3376070448405182e-132,KAT6B,1.098256400429349e-123,LOC339975,2.108726365622619e-88
POLQ,2.3988457990287082e-51,GOLGA6L9,1.5776921718700978e-106,FAM157C,2.484098882956625e-99,LINC01643,7.426203778218999e-129,NID1,2.6762722473381445e-16,LOC101928295,7.84809702134122e-142,PTPN22,2.1227216181211252e-131,NHS,1.1652278431235565e-122,CNTN3,5.680804744889795e-88
CD2AP,3.074558670610241e-51,KIF6,1.42457993058219e-105,LMNTD1,1.218806488716746e-100,LOC105374188,1.5680359185747067e-129,USP9Y,2.8902619579637094e-16,ASZ1,5.395135737207488e-143,SPAG5-AS1,6.413234350929956e-131,UNC80,3.8592238365267494e-123,POU2F1,1.421633220017763e-88
MAP3K5,5.570220289693811e-51,CDYL,2.7716257907612007e-105,CCDC188,3.0546008900410587e-99,C17orf50,2.5107545662106367e-129,CPQ,3.0686694366411065e-16,SLC2A14,6.1228660459154615e-143,NOL4L,4.3068320586731116e-131,MAGED1,6.769124917062083e-122,NLGN4X,5.636115884748707e-88
DGKD,7.77894493437028e-51,LOC101929485,7.043886904760849e-104,ACYP2,1.118118066049534e-99,C20orf144,5.113719074229735e-130,DMD,3.127070371279059e-16,SLC25A31,2.0207596303012745e-142,POTEJ,5.252173366488763e-130,ALDH1A1,2.762705195268149e-121,L3MBTL3,2.466718822065148e-87
SDF2L1,1.0488031542799293e-50,CLDND2,7.83511595937553e-104,RBM26,2.2181537651182693e-99,LINC00437,6.640512766934371e-128,LPAR1,3.1626521356569496e-16,MLH3,3.3697687669525136e-142,EYA4,5.544397332304808e-131,UBASH3B,5.65529117044185e-121,MAN1A1,8.274586201316278e-88
PTPRM,1.1826651789224616e-50,CDKL3,5.293883091444658e-104,LINC00351,8.096959234483895e-99,USP8,7.693799481983824e-128,PVT1,3.662594919431871e-16,BCAS3,7.003151840729508e-144,TRIM5,1.585335885226015e-129,PRKN,1.8958579502901902e-123,PTPRD,1.6142213133336733e-87
MAP4K3,1.6477657073271502e-50,C4orf51,2.495285076420062e-103,EFCAB1,8.612773221641979e-99,LOC102723968,5.374657495095799e-127,CLASP1,3.9678557091609075e-16,LINC02241,3.4203932369793585e-143,ANKRD24,7.13743068829841e-129,MTHFD1L,1.6867165480510927e-121,PPP3CA,4.469603300871615e-87
TRIO,1.8096247540427619e-50,LOC339539,6.307737287712339e-103,RNF151,3.849255404139519e-99,LOC105370464,4.403094276804274e-127,LOC101927947,4.186566005607002e-16,KDM2A,4.593873402840642e-142,AK9,2.16239585929242e-131,ZNF431,4.445757051423018e-121,STAU2,6.568354422190272e-87
ARL15,1.5945538757540333e-50,PLEKHA6,2.8110975334687504e-103,LRRC8C,6.401861540676555e-99,DHRS9,8.601426390511395e-128,MSRB3,7.010705723161556e-16,C2orf88,8.07233012000759e-142,PYGO1,1.1148912917925338e-128,SRSF5,4.130612770601099e-121,ARHGEF26,3.12095899089098e-86
LCLAT1,2.6916774504652966e-50,JAKMIP2,1.5232308642922459e-102,LOC100505711,1.3391729412420977e-98,FOXN3,2.5485754546202116e-128,COL1A1,7.583285982114748e-16,ZNF574,2.3046307853595963e-140,EYS,2.659823319848097e-130,UBR4,2.7695112665581297e-120,ZFHX3,2.281157120126708e-86
MND1,6.186209798842354e-50,FER1L5,3.277318527736027e-103,DRAM1,2.098073177148999e-98,LOC102725019,2.051492903313189e-126,ELN,7.816131295252609e-16,GSPT1,4.385040555426358e-140,LOC105374822,1.9180859374598258e-127,NXF3,1.2641112337140914e-119,CADPS2,2.801762538911358e-86
SPATS2,7.384818875008445e-50,TENM4,6.138393008950259e-103,LINC02885,7.188943019567615e-98,DMXL1-DT,5.053407432317686e-127,DAAM1,9.572954570863533e-16,KIF5B,1.5261363037961863e-140,GMDS-DT,3.133157351766243e-128,RYR2,1.0128950467779092e-119,STAG1,4.9109063796389295e-87
R3HDM2,7.942837549144008e-50,DNAAF11,1.2292206200898847e-102,LOC102723838,1.359993439917577e-97,TPTE2,2.2634226542853494e-127,SRSF5,9.753616043343231e-16,LOC105369468,4.136031992951234e-139,LOC105371953,3.256376464896112e-127,GRB14,3.216734927369575e-119,LOC105377862,1.4474571047942536e-85
APBB2,9.440639308446095e-50,LOC105375005,3.791353354592953e-102,LOC105370552,8.720335854207154e-98,DSE,6.022363972872355e-127,FLNA,1.4694621985318344e-15,MTCH2,1.39300171272339e-138,ZNF529,2.7931424812261446e-127,LOC107984001,8.283720576824947e-120,TMPRSS9,5.46113660465389e-85
LOC112268302,1.0555473691848263e-49,CIB4,1.6741096555356193e-101,TNNI3K,4.323970016691094e-98,LOC107985855,2.2442303242597867e-125,LOC107984869,1.4733942570637148e-15,ABCA5,2.9141556943727397e-137,ZCWPW2,1.1018465163905231e-128,ABCA8,2.3683382130725507e-119,ADGRA3,5.1890871148631e-85
RPL10A,2.6699278247002007e-49,LINC02641,4.903842722376103e-102,UGGT2,1.6160010492323638e-97,INPP4B,1.3220232986309207e-125,SFPQ,1.4677572243335763e-15,TDRD12,4.1297067677255034e-137,SDCCAG8,6.766774371322308e-128,CDH2,1.555576495849039e-119,LOC105374974,1.1443699381006353e-84
DAZL,2.5633308446912483e-49,PCDH9-AS3,1.243601780093773e-101,CLIP4,5.344925637060304e-97,IQGAP2,4.0329559084258e-126,ATRX,1.5748638224593165e-15,DNAI1,8.445138840869629e-138,HECTD4,4.800255077427333e-128,USP9Y,2.9113182552163193e-119,P2RY14,1.389475415258517e-84
LOC105369896,4.237001765307842e-49,LINC02498,4.288212094289305e-101,RBFOX1,2.64601267716147e-97,CDH13,1.5021773371636737e-125,CRISPLD2,1.7048267829135713e-15,DYDC2,9.723659755464696e-136,LOC100506076,4.240882346376551e-126,AFDN,2.0319291834703308e-119,CACNA2D1,3.624471096234967e-85
UBE2Q2,6.1195334167325935e-49,AANAT,3.3899317592615964e-100,AGAP6,1.4429966742942234e-96,PWRN1,1.931002631181336e-125,BCL2,1.9645744467968187e-15,STAG1,1.331542456712444e-136,PKD2L2,4.446428004673886e-126,APP,8.22434909739813e-119,LOC105378797,3.804880398114308e-84
TRPC4AP,6.324169228530121e-49,ATP10A,9.742785662457039e-101,LINC02853,2.6077025096152985e-96,RFTN1,1.4947114212853067e-124,SENP6,2.5335851205892475e-15,TERB1,5.1392147773728626e-135,ZNF644,1.9711721022090895e-126,TOM1L2,9.447893810791505e-119,RORA,5.32995073149464e-85
SMC5,7.122278633459186e-49,EFHB,3.687611167676802e-100,C20orf173,1.3363289075541858e-96,PHLPP1,4.827222410951808e-125,SLC38A2,2.9095203738039677e-15,SOX2-OT,9.801653036484177e-136,VPS13B,1.6830465067375718e-127,BCL2L2-PABPN1,8.13997032934982e-118,HECW2,3.5001320552030627e-84
APP,7.730218091853978e-49,GOLGA2,9.279763339502119e-101,TEX49,1.7011045620269022e-96,CNBD2,3.4871058985338416e-124,PLA2G4A,3.0892908132992427e-15,TSGA10,2.626908650843977e-136,LOC648987,1.7323051320260107e-125,MRO,1.598484697116411e-117,KIAA1958,2.398550430698312e-84
LMAN2,1.5437673017942156e-48,NTN4,2.397244637201475e-100,LOC105374754,1.034485894099438e-95,LOC101929278,1.4114485127314503e-124,RNF152,3.4323064215123097e-15,ANKRD12,2.8202320627315573e-136,BRDT,9.533725127298675e-127,VEZT,8.667057026701714e-118,POLA1,1.20207123207993e-83
C1GALT1,2.4981137270890243e-48,LINC00536,1.470308343774157e-99,PTPRN2,1.0982566906520473e-96,DOC2A,1.041220635153862e-123,THOC2,3.777951291284413e-15,LINC01206,1.681469463586361e-134,CT75,1.2120949611810058e-125,PFKFB4,5.2329003915096656e-117,ERG,1.058429877308753e-82
CNTLN,2.564733703803087e-48,ETV1,1.5161465511819753e-99,LOC101930091,1.735753749223943e-95,LOC284412,1.555979001150428e-123,ABCC6,4.133765523082416e-15,SPAG9,2.373752742752995e-134,LINC01099,1.0574841380788815e-124,IGF1R,9.264740883036556e-119,KCND2,7.349645615629846e-84
EPS15,2.801955972753843e-48,CCDC81,1.777238226731246e-99,C11orf65,2.8667882560286957e-96,CDRT15L2,1.483937908689553e-123,LRP1,4.988835182371513e-15,CFAP299,1.2158063223895913e-134,CSTF3-DT,4.127509708235715e-125,APPL2,4.652158463673689e-117,KLHL29,1.38539004703086e-82
CHAF1A,4.82332457708255e-48,USP2-AS1,9.594400254066261e-100,C17orf98,3.61508402795494e-95,PDE4B,1.4665157637988314e-123,MYL9,5.042563169026206e-15,LINC00661,2.249927718825406e-131,ABHD3,6.285160693110521e-125,XPO1,2.583578964395368e-117,TRPS1,8.344150235968474e-83
IARS1,4.913773864258562e-48,LOC100128993,1.5275422514381758e-98,LOC105378340,9.06065049293302e-95,ILRUN-AS1,4.6543440737595864e-123,SELENOP,5.325453891392938e-15,INO80E,1.7933928427883643e-131,LOC105375993,8.224059852685938e-126,UTRN,1.5545918944713537e-117,LOC107984132,4.195938935479302e-82
HMGB1,3.930193406443228e-48,LYZL6,2.8103085297975347e-98,LOC101929998,1.404026899877153e-95,PAH,1.4158997502866916e-122,CDH11,5.564853612081197e-15,C5orf47,5.0083773802599226e-132,SERTAD2,2.6123753958548524e-124,ZRANB2,3.459471198950277e-117,CDH4,3.2938665207163354e-82
RRM2,7.96708510807529e-48,LOC105377700,3.624141714028266e-98,AKNAD1,2.311422967932326e-94,GOLGA6L10,2.548122124177331e-123,PLXDC2,5.325836011743079e-15,LOC105375993,7.458765020769774e-131,DNAH10,2.73712994622432e-124,SNHG14,8.981201319848025e-118,DOCK4,1.8325263390953096e-82
TENM3,6.490148079970773e-48,CFAP43,4.3482483441705746e-98,ADIG,3.077586566897322e-94,NTRK3,6.099131410894333e-123,EPC1,5.5602753397728875e-15,PSMA8,1.3368800836514876e-131,LINC02506,1.3578380394951202e-123,OSBPL9,2.7565270063617894e-117,PCDH15,6.599955581721977e-83
FAM133B,6.995060191776698e-48,LINC01911,4.791948795116043e-97,FAM71F1,2.025948447940001e-94,LOC105376387,1.2363297663160225e-121,MID1,5.758109462273095e-15,PFDN6,2.029362467823581e-130,WDR70,3.174933074685214e-125,TRIO,1.8441229697090736e-116,LOC105369689,1.6025658515898475e-81
PRSS41,1.1863831380878128e-47,SNCAIP,2.537433517273754e-97,FAM209B,1.6833615406447723e-94,GOLGA6L9,3.8800818187177423e-122,MACF1,5.628117330996477e-15,MCMDC2,6.039447463271256e-130,FNIP1,7.163321468649641e-125,LOC105373348,6.331348493291836e-115,MMP16,1.1446260099467431e-81
MKI67,1.4117175878514294e-47,PLSCR2,3.786969186088616e-97,LOC105371021,8.244878074927429e-94,LOC105374016,3.486435823457179e-120,PRKCA,7.915471007025217e-15,HFM1,1.8997469903076104e-129,DLG2,2.1121390191997792e-123,GSTM3,9.498698534486884e-115,SLIT2,4.9040660313441544e-82
SIPA1L2,2.0788712736618496e-47,DMXL1-DT,1.725233690140522e-96,SLC25A37,3.100890542139561e-94,AMOTL1,7.535345846885238e-121,EPS8,8.611588615912623e-15,RECK,1.434676431266487e-129,SNX14,1.4820437395650545e-124,RNF13,4.42577396406537e-115,GNAL,1.4389556204725057e-81
EYA4,1.6716154436527905e-47,CCDC91,3.8805745386767074e-97,LINC02456,2.165865066301832e-93,H1-7,5.492457250042637e-121,MAMDC2,9.523600254191255e-15,MRTFB,4.034059002817107e-130,CCDC88A,3.0171704150761865e-125,ACO1,1.82733997386842e-114,NUTM2B-AS1,6.329478155992281e-82
ATP11C,2.215566086073934e-47,SKAP1,1.0064746251889131e-95,SLC44A2,6.136008507473567e-94,LOC105373449,2.235940228069362e-120,COL5A2,9.851775158613223e-15,ADD3,9.841265824607665e-129,ART3,4.696538256777871e-124,PTK2,3.0240076230636986e-116,PDE4D,4.3063989937007073e-82
EIF5B,2.00336838438422e-47,ANKFN1,5.5401694813050166e-95,TTLL11,1.4191880235449796e-93,LINC01010,7.355237922733544e-120,GAB2,9.687478543722526e-15,ZBTB46-AS1,2.8970797972887783e-127,LOC102724680,8.183644217287245e-122,EVI5,5.977513608120229e-115,KLHL13,2.846762572723955e-81
SMARCC1,2.346725041554128e-47,DZANK1,2.516134421061018e-95,RIPOR2,1.2636299559503342e-93,RCAN2,1.1058267866507284e-119,PIAS1,9.778639244954331e-15,SMC4,1.7156615168222072e-127,LOC101927687,1.0908078911083979e-122,XKR6,9.142799511981547e-115,F11-AS1,8.237509546290803e-81
CTDSPL,3.879891655489522e-47,CDRT15,2.462274913722307e-94,LINC00266-3,1.266769377977897e-92,CACNA1A,1.2025427803481004e-120,PLPP3,1.0972718679639453e-14,LOC105370765,6.244392160071362e-126,SATB2,1.768072566268249e-122,N4BP2L2,5.731366949591132e-115,FAM78B,1.2770809635496502e-80
POLE2,4.367340499979653e-47,LYPD6B,1.206812961202949e-94,ANKRD9,6.503771270966068e-93,LOC105374007,4.14688879825975e-120,LRIG3,1.1653146817459687e-14,FLT1,2.682298301313748e-126,LIN7A,6.096909044836111e-122,ARHGEF10,1.0934603158514893e-113,CELF2,2.4402235184860804e-81
ESF1,7.212795536889615e-47,MMS22L,1.9730867110632397e-95,CCDC159,9.457877479032133e-93,LOC105377955,1.0000320749634445e-118,ADAMTS12,1.1825284061174475e-14,PDS5B,8.716905733659644e-127,ZBTB44-DT,2.52878692399485e-122,FNBP1,3.308063100277977e-114,MAP4K4,5.933299438228252e-81
FANCC,6.615423784362083e-47,EPB41L2,4.389246070743741e-95,FAM104A,1.41480135628415e-92,ODAD2,1.0087256200247346e-119,HMCN1,1.4078348615253011e-14,GRIK5,9.748634922712126e-126,LOC107985255,1.9057045329090004e-121,SYNPO2,2.638808580005294e-113,ARHGAP12,1.9456624516229103e-80
LIMS1,9.27968632552705e-47,CFAP77,2.752021845701452e-94,LOC100134040,6.1363364288968614e-92,LOC105372768,5.03658585012506e-118,NCOA1,1.5029717092559045e-14,STRIP2,8.961707294152496e-125,HMGA2,6.119314604555285e-121,ADAM17,4.9547726996909725e-113,AK5,3.602962053669147e-80
FARS2,8.417112568615329e-47,LOC101929319,9.56849877028356e-94,LOC102724068,1.5772038704161186e-90,PGGT1B,2.609003619898873e-118,VGLL3,1.6938477117871172e-14,LOC105371191,1.5357003183591739e-124,NPL,2.0911973535376146e-121,PPFIBP1,2.504935126066063e-112,LOC105374329,7.328009702492242e-80
LOC105370363,1.85912578348154e-46,RSPH10B,1.546621403532688e-93,LINC00616,1.1109854291498543e-90,LRRC69,2.6503030849263497e-118,ABO,1.852498751884361e-14,GLCCI1,1.3626247362871825e-124,FBXL7,1.0180120620704634e-121,PWWP3B,5.763039554647972e-112,LOC107986022,8.596372336605928e-80
GLMN,1.127393755653739e-46,TEKT1,1.6656939080548335e-93,TMEM109-DT,7.849894564911415e-91,CFAP100,2.389972686878366e-118,NUTM2B-AS1,1.8991116003510978e-14,MOV10L1,3.4954899222489573e-124,LOC107987105,4.052795141217057e-121,TOX2,3.8883630200404976e-112,STK31,3.3588672095446563e-80
BMPR2,1.3342153887896743e-46,ENTPD1,1.9209830322353536e-93,GPCPD1,5.043972704585256e-91,LUZP1,6.505416890134953e-119,PLA2G5,2.2635797352529766e-14,BRDT,1.3291178842040335e-124,CCDC110,8.901270868123008e-121,GATA4,2.0533221468582355e-111,PTPN2,1.2578996422979518e-79
MELK,1.9914016480788093e-46,CFAP91,5.916925135875168e-93,LOC102725019,5.187753465526384e-91,DTX2,5.042422445985845e-118,ANTXR2,2.273952545325317e-14,LOC349160,2.268133889912774e-124,HTR7,2.7757854577702903e-120,KIF5C-AS1,4.525779753400299e-111,LOC102724210,3.8206909612156034e-79
RAPGEF1,2.0058728986819713e-46,CCDC138,6.602807879302822e-93,LOC107984035,9.949511763536269e-92,TSBP1-AS1,4.784585762383079e-118,S100A6,2.788555019250769e-14,LOC105373710,5.1308784608009353e-123,LOC105375002,2.2213296742022717e-120,DISP1,1.6000104293995975e-111,EPM2A,3.0075322961323884e-79
MGA,1.8794202762897904e-46,LINC01846,4.886848921309912e-92,C21orf91,2.418916976947472e-90,AGBL3,7.418136579807394e-119,LOC112268156,2.7886812610282267e-14,LINC00905,1.5529997187027942e-121,CFAP46,2.8620098245559705e-121,AR,7.076881913993892e-111,LOC105374557,4.667309720472921e-79
LINC01266,3.1477403783201047e-46,SPACA7,1.0586609484895058e-92,SUN5,1.5453209673565745e-90,USP2-AS1,6.7824441377199645e-118,SERPING1,3.116000158157778e-14,LOC101928563,2.8347266089165048e-121,ABHD1,5.962725167344704e-120,amplicon-chrX-TCEAL2/3/4/5/6,9.470996864742849e-111,FOXP2,7.526892131785908e-79
CLYBL,3.5938760098397296e-46,ARL13B,2.1995823275925783e-92,EQTN,1.0526885408561638e-90,LOC105378102,1.5102070034482492e-116,DPYSL3,3.736004055876127e-14,FAF1,5.441502075248514e-122,POTEM,7.03526575359301e-120,JRKL-AS1,2.6017121463409557e-110,PPARG,1.8305477125061504e-78
SP3,4.19621876627263e-46,NEK10,1.3048062186950366e-92,PLXNA4,4.6595196666371435e-90,USP50,9.81257951924617e-117,LOC105369212,4.921249433733514e-14,LINC02476,1.7844188454192447e-121,NOX5,1.1866579007066998e-119,CRTC3,8.625230875123123e-111,LOC105372666,3.591408746755679e-79
RAD54B,5.2355110368433e-46,CFAP61,6.916685505704025e-92,GIGYF2,1.8449365943899802e-90,HK1,8.617316011741443e-117,COL4A2,5.180777053151626e-14,ZRANB2-AS2,6.583304865022808e-121,LYAR,9.546720492233742e-120,SYK,2.211244087817314e-110,GCNT2,2.7629136967051034e-78
MICU2,6.386134966846912e-46,LOC101929006,3.9738377661136266e-91,IQCE,2.434365625251617e-90,TMEM262,4.764115294214393e-116,PDZD2,5.717716826691041e-14,CCP110,2.076805210479075e-120,CFAP299,5.524480376982812e-120,KIF13B,1.871940452770683e-110,CCDC144NL-AS1,1.8135393598791771e-78
MKLN1,5.8721081658955576e-46,GMDS,2.697314472052107e-91,ZNF516,3.72855992347788e-90,LOC105375410,8.757296435542532e-116,PHF14,5.79227439943061e-14,LINC00993,3.9307862961401104e-120,LINC00301,3.1666020417851825e-118,CLDN11,4.564070423542015e-110,LOC105371308,6.103971694002805e-78
FANCA,7.813980157551102e-46,LRRC69,1.030695870780287e-90,PKHD1,9.549170979581426e-90,CEP152,1.6014577546735376e-116,PPP3CA,6.783516085943748e-14,ULK2,2.4548702028502608e-120,ZNF652,1.6139270753215227e-119,SFPQ,2.960143833049887e-110,FBXL17,1.2245511357175635e-78
APC,8.013053054802608e-46,RGL4,1.385987599955042e-90,ZC2HC1B,1.8024179332369094e-89,RIPOR2,4.490378046749218e-115,DAAM2,7.27423985268479e-14,STK38,2.2515613139959467e-120,LINC02408,9.757543969210215e-118,SLC7A14,2.36258674952773e-109,PPP2R3A,5.587575754306306e-78
NDUFAF2,8.395390507867147e-46,LOC101929563,3.891911738206029e-91,LOC105378299,2.5799963367239098e-89,LINC00366,1.4350659880217642e-114,ITGB8,8.164373166187478e-14,SPDYE12P,4.144399072456535e-119,WDR27,1.0720096313540461e-118,CALD1,1.719796790887705e-110,SORCS3,9.337843457289195e-78
RNGTT,8.899599641114401e-46,LOC105374193,2.0587662805593262e-90,TNFRSF21,9.98573506285032e-90,PLPPR1,4.329074026887753e-114,MAP1B,8.316546211202569e-14,LOC105378800,6.678012793809458e-119,SAMD13,1.0976344937730555e-117,UBE2H,1.1774406952083714e-109,MEF2C,4.673984802284848e-77
